Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
Q53,Qualification,2024-04-29 14:12:00 -0400 EDT,829,false,9431,false,234,false,3176,false,3487,false,5484,false
Q54,Qualification,2024-04-29 14:18:00 -0400 EDT,5010,false,1720,false,4926,false,1018,false,3865,false,8430,false
Q55,Qualification,2024-04-29 14:24:00 -0400 EDT,6498,false,135,false,3940,false,5188,false,1024,false,1741,false
Q56,Qualification,2024-04-29 14:30:00 -0400 EDT,7617,false,7657,false,4272,false,2197,false,461,false,4982,false
Q57,Qualification,2024-04-29 14:36:00 -0400 EDT,3494,false,7454,false,1646,false,292,false,8103,false,1747,false
Q58,Qualification,2024-04-29 14:42:00 -0400 EDT,1741,false,868,false,4926,false,234,false,8430,false,1024,false
Q59,Qualification,2024-04-29 14:48:00 -0400 EDT,829,false,5402,false,4272,false,3147,false,4982,false,5010,false
Q60,Qualification,2024-04-29 14:54:00 -0400 EDT,7617,false,3940,false,3176,false,9431,false,7454,false,8103,false
Q61,Qualification,2024-04-29 15:00:00 -0400 EDT,5188,false,135,false,1747,false,7457,false,1501,false,292,false
Q62,Qualification,2024-04-29 15:06:00 -0400 EDT,1018,false,3494,false,461,false,2197,false,1646,false,45,false
Q63,Qualification,2024-04-29 15:12:00 -0400 EDT,3865,false,5484,false,6721,false,9491,false,7657,false,3487,false
Q64,Qualification,2024-04-29 15:18:00 -0400 EDT,6498,false,1501,false,5188,false,1720,false,7454,false,7457,false
Q65,Qualification,2024-04-29 15:24:00 -0400 EDT,2197,false,4272,false,1747,false,8103,false,1018,false,135,false
Q66,Qualification,2024-04-29 15:30:00 -0400 EDT,8430,false,45,false,3494,false,3487,false,3940,false,829,false
Q67,Qualification,2024-04-29 15:36:00 -0400 EDT,3176,false,6721,false,5402,false,234,false,6498,false,5010,false
Q68,Qualification,2024-04-29 15:42:00 -0400 EDT,868,false,4982,false,3865,false,1741,false,7657,false,1646,false
Q69,Qualification,2024-04-29 15:48:00 -0400 EDT,292,false,5484,false,3147,false,461,false,1024,false,7617,false
Q70,Qualification,2024-04-29 15:54:00 -0400 EDT,1720,false,9431,false,6498,false,9491,false,4926,false,829,false
Q71,Qualification,2024-04-29 16:00:00 -0400 EDT,1741,false,234,false,4272,false,7657,false,45,false,5188,false
Q72,Qualification,2024-04-29 16:06:00 -0400 EDT,4982,false,3940,false,1018,false,461,false,868,false,292,false
Q73,Qualification,2024-04-29 16:12:00 -0400 EDT,8103,false,3487,false,2197,false,5010,false,3865,false,5402,false
Q74,Qualification,2024-04-29 16:18:00 -0400 EDT,9491,false,5484,false,1747,false,4926,false,7617,false,3494,false
Q75,Qualification,2024-04-29 16:24:00 -0400 EDT,7454,false,6721,false,1501,false,135,false,1024,false,1720,false
Q76,Qualification,2024-04-29 16:30:00 -0400 EDT,7457,false,9431,false,3176,false,1646,false,3147,false,8430,false
